CompoundID,Tags,Name,Formula,Superclass,Class,Subclass,KEGG ID
FT_444.2377_17.97_RPPOS,Potential ID (Low Confidence),Crenolanib,C26H29N5O2,Alkaloids and derivatives,Cytochalasans,,
FT_314.17498_11.149_RPPOS,Not in Internal DB. MS/MS match only,Ethylmorphine,C19H23NO3,Alkaloids and derivatives,Morphinans,,
FT_142.08614_2.557_RPPOS,Not in Internal DB. MS/MS match only,Guvacoline,C7H11NO2,Alkaloids and derivatives,,,
FT_471.23885_1.255_HNEG,Potential ID (Low Confidence),Methylprednisolone aceponate,C27 H36 O7,Alkaloids and derivatives,,,
FT_138.05482_1.408_RPPOS,Confirmed ID (High confidence),Trigonelline,C7H7NO2,Alkaloids and derivatives,,,
FT_433.31729_1.674_HNEG,Potential ID (Low Confidence),,C18 H43 N8 O2 P,Alkaloids and derivatives,,,
FT_635.41631_1.66_HNEG,Potential ID (Low Confidence),,C32 H66 N2 O4 P2 S,Alkaloids and derivatives,,,
FT_448.23273_18.208_RPPOS,Potential ID (Low Confidence),,C18H34N5O6P,Alkaloids and derivatives,,,
FT_490.27916_17.97_RPPOS,Potential ID (Low Confidence),,C19H45N3O7P2,Alkaloids and derivatives,Cytochalasans,,
FT_343.08232_1.132_HNEG,Potential ID (Low Confidence),(.+/-.)-Usnic acid,C18 H16 O7,Benzenoids,Benzene and substituted derivatives,Acetophenones,
FT_271.06127_1.232_HNEG,Potential ID (Low Confidence),(±)-Naringenin,C15 H12 O5,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_295.13271_16.283_RPPOS,Not in Internal DB. MS/MS match only,"(1E,4E)-1,5-bis(4-methoxyphenyl)penta-1,4-dien-3-one",C19H18O3,Benzenoids,Phenol ethers,Anisoles,
FT_295.13273_16.448_RPPOS,Not in Internal DB. MS/MS match only,"(1E,4E)-1,5-bis(4-methoxyphenyl)penta-1,4-dien-3-one",C19H18O3,Benzenoids,Phenol ethers,Anisoles,
FT_207.04977_6.86_RPPOS,Potential ID (Low Confidence),"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",C7H10O7,Benzenoids,Benzene and substituted derivatives,,
FT_207.04977_7.084_RPPOS,Potential ID (Low Confidence),"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",C7H10O7,Benzenoids,Benzene and substituted derivatives,,
