"","parent_ft","fragments"
"1","FT_177.04041_2.886_HNEG","FT_129.01938_2.889_HNEG"
"2","FT_195.02987_1.661_HNEG","FT_195.02986_1.662_HNEG"
"3","FT_228.05474_3.829_HNEG","FT_168.03352_3.83_HNEG"
"4","FT_241.14459_1.447_HNEG","FT_241.14458_1.445_HNEG; FT_197.15468_1.447_HNEG"
"5","FT_243.12384_1.689_HNEG","FT_243.12383_1.687_HNEG"
"6","FT_247.04385_2.87_HNEG","FT_203.03686_2.875_HNEG"
"7","FT_248.02461_2.689_HNEG","FT_174.02414_2.686_HNEG"
"8","FT_280.14019_9.855_HNEG","FT_193.07168_9.855_HNEG; FT_175.06111_9.854_HNEG"
"9","FT_291.0508_2.867_HNEG","FT_247.04385_2.87_HNEG"
"10","FT_297.13443_1.673_HNEG","FT_279.12383_1.672_HNEG"
"11","FT_302.1011_11.747_HNEG","FT_242.07991_11.749_HNEG"
"12","FT_317.06683_1.484_HNEG","FT_167.03493_1.484_HNEG"
"13","FT_341.16071_1.682_HNEG","FT_297.17086_1.678_HNEG"
"14","FT_355.10361_5.006_HNEG","FT_193.05056_5.005_HNEG"
"15","FT_373.09305_1.103_HNEG","FT_177.01925_1.102_HNEG"
"16","FT_453.13448_1.656_HNEG","FT_359.09266_1.656_HNEG; FT_265.05067_1.655_HNEG"
"17","FT_464.80497_7.747_HNEG","FT_296.88229_7.746_HNEG"
"18","FT_467.0984_1.392_HNEG","FT_167.03488_1.392_HNEG; FT_317.06677_1.392_HNEG"
"19","FT_603.15408_1.073_HNEG","FT_425.09145_1.077_HNEG"
"20","FT_683.22422_11.196_HNEG","FT_341.10887_11.196_HNEG"
"21","FT_683.22425_12.28_HNEG","FT_341.1089_12.28_HNEG"
"22","FT_724.8717_8.917_HNEG","FT_248.96044_8.916_HNEG; FT_316.94797_8.916_HNEG; FT_384.93548_8.916_HNEG; FT_452.92277_8.917_HNEG; FT_520.91002_8.917_HNEG"
