"","parent_ft","fragments"
"1","FT_116.07046_1.411_RPPOS","FT_70.06509_1.411_RPPOS"
"2","FT_118.08612_1.956_RPPOS","FT_72.08075_1.956_RPPOS"
"3","FT_128.07045_8.523_RPPOS","FT_86.05998_8.523_RPPOS"
"4","FT_130.09735_2.155_RPPOS","FT_70.06509_2.155_RPPOS"
"5","FT_132.10177_4.039_RPPOS","FT_86.09638_4.039_RPPOS"
"6","FT_132.10177_4.363_RPPOS","FT_86.09638_4.363_RPPOS"
"7","FT_139.05008_3.51_RPPOS","FT_121.0395_3.507_RPPOS"
"8","FT_153.10214_8.406_RPPOS","FT_136.07557_8.405_RPPOS"
"9","FT_154.08616_7.571_RPPOS","FT_126.09121_7.571_RPPOS"
"10","FT_166.08613_7.152_RPPOS","FT_120.08062_7.152_RPPOS; FT_120.08064_7.153_RPPOS"
"11","FT_179.0549_1.278_RPPOS","FT_133.04939_1.282_RPPOS"
"12","FT_182.10353_3.208_RPPOS","FT_137.04567_3.209_RPPOS"
"13","FT_183.07797_13.459_RPPOS","FT_183.07794_13.458_RPPOS"
"14","FT_187.10757_1.479_RPPOS","FT_187.10756_1.476_RPPOS"
"15","FT_191.10248_1.386_RPPOS","FT_173.09192_1.385_RPPOS; FT_174.07594_1.385_RPPOS"
"16","FT_196.08272_6.311_RPPOS","FT_164.05657_6.312_RPPOS"
"17","FT_197.06542_1.277_RPPOS","FT_133.04939_1.282_RPPOS; FT_179.0549_1.278_RPPOS"
"18","FT_205.0817_1.247_RPPOS","FT_205.08169_1.246_RPPOS"
"19","FT_205.1433_15.46_RPPOS","FT_87.04402_15.461_RPPOS"
"20","FT_209.08071_14.484_RPPOS","FT_177.05452_14.484_RPPOS"
"21","FT_211.08108_1.772_RPPOS","FT_179.0549_1.77_RPPOS; FT_193.07053_1.766_RPPOS"
"22","FT_213.14838_16.131_RPPOS","FT_181.12219_16.133_RPPOS"
"23","FT_217.14329_13.768_RPPOS","FT_203.12765_13.767_RPPOS"
"24","FT_217.14331_15.514_RPPOS","FT_203.12766_15.514_RPPOS"
"25","FT_223.05999_17.371_RPPOS","FT_209.04434_17.372_RPPOS"
"26","FT_227.09124_6.784_RPPOS","FT_209.08066_6.786_RPPOS"
"27","FT_236.1127_11.945_RPPOS","FT_159.06508_11.945_RPPOS"
"28","FT_243.1371_1.436_RPPOS","FT_198.07927_1.436_RPPOS"
"29","FT_245.07663_4.463_RPPOS","FT_113.03442_4.464_RPPOS"
"30","FT_246.06065_1.417_RPPOS","FT_228.0501_1.417_RPPOS"
"31","FT_255.12255_16.372_RPPOS","FT_227.12765_16.372_RPPOS"
"32","FT_259.13266_18.935_RPPOS","FT_199.11156_18.936_RPPOS; FT_227.10647_18.936_RPPOS"
"33","FT_259.13266_19.002_RPPOS","FT_199.11156_19.001_RPPOS; FT_227.10647_19.001_RPPOS"
"34","FT_260.16034_7.546_RPPOS","FT_242.14974_7.546_RPPOS; FT_260.16033_7.545_RPPOS"
"35","FT_268.10386_6.728_RPPOS","FT_152.05658_6.727_RPPOS"
"36","FT_273.14831_18.975_RPPOS","FT_185.13232_18.974_RPPOS; FT_213.12721_18.974_RPPOS; FT_241.12209_18.974_RPPOS"
"37","FT_275.12763_16.999_RPPOS","FT_215.10651_16.999_RPPOS"
"38","FT_277.12805_14.652_RPPOS","FT_203.09126_14.652_RPPOS"
"39","FT_283.26295_20.52_RPPOS","FT_265.2524_20.521_RPPOS"
"40","FT_284.09874_6.424_RPPOS","FT_152.05655_6.422_RPPOS"
"41","FT_285.07561_15.408_RPPOS","FT_267.06502_15.408_RPPOS"
"42","FT_289.16441_16.495_RPPOS","FT_229.14328_16.496_RPPOS; FT_257.13819_16.499_RPPOS"
"43","FT_289.16443_16.574_RPPOS","FT_257.13819_16.57_RPPOS"
