"","Year","Habitat_plant","Sample_code","Sample_code_by_core","depth","label","Tsoil","pH","GPS","site","habitat","WTD","ALD"
"2013_P_1_1_5","2013","PALSA","core_1","2013_P_1_1_5","1_5","P","12.4","","N 68 21.2074, E 19 02.8407","Palsa Autochamber Site","Palsa","Not Measured","42.0"
"2013_P_1_10_14","2013","PALSA","core_1","2013_P_1_10_14","10_14","P","6.1","","N 68 21.2074, E 19 02.8407","Palsa Autochamber Site","Palsa","Not Measured","42.0"
"2013_P_2_1_5","2013","PALSA","core_2","2013_P_2_1_5","1_5","P",NA,"","N 68 21.2076, E 19 02.8404","Palsa Autochamber Site","Palsa","Not Measured","32.0"
"2013_P_2_10_14","2013","PALSA","core_2","2013_P_2_10_14","10_14","P",NA,"","N 68 21.2076, E 19 02.8404","Palsa Autochamber Site","Palsa","Not Measured","32.0"
"2013_P_3_1_5","2013","PALSA","core_3","2013_P_3_1_5","1_5","P",NA,"","N 68 21.2066, E 19 02.8416","Palsa Autochamber Site","Palsa","Not Measured","44.0"
"2013_P_3_10_14","2013","PALSA","core_3","2013_P_3_10_14","10_14","P",NA,"","N 68 21.2066, E 19 02.8416","Palsa Autochamber Site","Palsa","Not Measured","44.0"
"2013_S_1_1_5","2013","BOG","core_1","2013_S_1_1_5","1_5","S","14.8","","N 68 21.1974, E 19 02.8472","Sphagnum Autochamber Site","Bog","-7.0","78.0"
"2013_S_1_10_14","2013","BOG","core_1","2013_S_1_10_14","10_14","S","8.8","4.1","N 68 21.1974, E 19 02.8472","Sphagnum Autochamber Site","Bog","-7.0","78.0"
"2013_S_2_1_5","2013","BOG","core_2","2013_S_2_1_5","1_5","S","15.7","","N 68 21.1975, E 19 02.8521","Sphagnum Autochamber Site","Bog","-7.0","78.0"
"2013_S_2_10_14","2013","BOG","core_2","2013_S_2_10_14","10_14","S","10.4","4.1","N 68 21.1975, E 19 02.8521","Sphagnum Autochamber Site","Bog","-7.0","78.0"
"2013_S_3_1_5","2013","BOG","core_3","2013_S_3_1_5","1_5","S",NA,"","N 68 21.2017, E 19 02.8510","Sphagnum Autochamber Site","Bog","Not Measured","Not Measured"
"2013_S_3_10_14","2013","BOG","core_3","2013_S_3_10_14","10_14","S",NA,"","N 68 21.2017, E 19 02.8510","Sphagnum Autochamber Site","Bog","Not Measured","Not Measured"
"2013_E_1_1_5","2013","FEN","core_1","2013_E_1_1_5","1_5","E","11.6","5.3","N 68 21.2006, E 19 02.8094","Eriophorum Autochamber Site","Fen","0.0","Not Measured"
"2013_E_1_10_14","2013","FEN","core_1","2013_E_1_10_14","10_14","E","10.2","5.4","N 68 21.2006, E 19 02.8094","Eriophorum Autochamber Site","Fen","0.0","Not Measured"
"2013_E_2_1_5","2013","FEN","core_2","2013_E_2_1_5","1_5","E",NA,"","N 68 21.2022, E 19 02.8008","Eriophorum Autochamber Site","Fen","Not Measured","Not Measured"
"2013_E_2_10_14","2013","FEN","core_2","2013_E_2_10_14","10_14","E",NA,"","N 68 21.2022, E 19 02.8008","Eriophorum Autochamber Site","Fen","Not Measured","Not Measured"
"2013_E_3_1_5","2013","FEN","core_3","2013_E_3_1_5","1_5","E","15.8","5.9","NaN","Eriophorum Autochamber Site","Fen","-2.0","Not Measured"
"2013_E_3_10_14","2013","FEN","core_3","2013_E_3_10_14","10_14","E","12.6","5.9","NaN","Eriophorum Autochamber Site","Fen","-2.0","Not Measured"
"2014_P_1_1_5","2014","PALSA","core_1","2014_P_1_1_5","1_5","P","18.4",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","47.0"
"2014_P_1_10_14","2014","PALSA","core_1","2014_P_1_10_14","10_14","P","10",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","47.0"
"2014_P_1_20_24","2014","PALSA","core_1","2014_P_1_20_24","20_24","P","6",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","47.0"
"2014_P_1_30_34","2014","PALSA","core_1","2014_P_1_30_34","30_34","P","3.6",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","47.0"
"2014_P_2_1_5","2014","PALSA","core_2","2014_P_2_1_5","1_5","P","20.5",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","44.0"
"2014_P_2_10_14","2014","PALSA","core_2","2014_P_2_10_14","10_14","P","13",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","44.0"
"2014_P_2_20_24","2014","PALSA","core_2","2014_P_2_20_24","20_24","P","8.5",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","44.0"
"2014_P_2_30_34","2014","PALSA","core_2","2014_P_2_30_34","30_34","P","0",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","44.0"
"2014_P_3_1_5","2014","PALSA","core_3","2014_P_3_1_5","1_5","P","19.1",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2014_P_3_10_14","2014","PALSA","core_3","2014_P_3_10_14","10_14","P","10.7",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2014_P_3_20_24","2014","PALSA","core_3","2014_P_3_20_24","20_24","P","6.8",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2014_P_3_30_34","2014","PALSA","core_3","2014_P_3_30_34","30_34","P","2.9",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2014_S_1_1_5","2014","BOG","core_1","2014_S_1_1_5","1_5","S","16.2",NA,"N 68 21.1973, E 19 02.8537","Sphagnum Autochamber Site","Bog","-10.0","Below Detection (>100)"
